,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Maragogi,-9.0122,-35.2225,71.91,87,0,4.05,BR,1660279643
1,Hong Kong,22.2855,114.1577,78.33,96,93,1.01,HK,1660279434
2,Upernavik,72.7868,-56.1549,41.13,88,74,9.86,GL,1660279645
3,Māngrol,21.1167,70.1167,81.91,87,98,26.84,IN,1660279646
4,Mount Gambier,-37.8333,140.7667,53.51,94,75,9.22,AU,1660279648
5,Busselton,-33.65,115.3333,61.56,64,0,17.2,AU,1660279650
6,Kapaa,22.0752,-159.319,82.38,80,40,17.27,US,1660279652
7,Bluff,-46.6,168.3333,44.8,65,83,10.87,NZ,1660279653
8,Nanortalik,60.1432,-45.2371,43.41,91,45,5.7,GL,1660279654
9,Ushuaia,-54.8,-68.3,35.26,64,40,2.3,AR,1660279657
10,Bredasdorp,-34.5322,20.0403,51.76,93,100,9.71,ZA,1660279658
11,Punta Arenas,-53.15,-70.9167,32.11,86,0,8.05,CL,1660279440
12,Tuatapere,-46.1333,167.6833,45.82,79,81,4.99,NZ,1660279660
13,Cape Town,-33.9258,18.4232,53.11,89,75,3.44,ZA,1660279596
14,Barrow,71.2906,-156.7887,48.22,87,40,12.66,US,1660279663
15,Kitimat,54.0524,-128.6534,70.18,40,1,1.99,CA,1660279664
16,Mar del Plata,-38.0023,-57.5575,48.87,86,0,10.0,AR,1660279666
17,Puerto Ayora,-0.7393,-90.3518,67.55,100,100,4.0,EC,1660279667
18,Port Elizabeth,-33.918,25.5701,57.49,92,0,11.5,ZA,1660279669
19,Bengkulu,-3.8004,102.2655,82.51,77,65,4.65,ID,1660279670
20,Vaini,-21.2,-175.2,75.36,78,40,16.11,TO,1660279671
21,Khatanga,71.9667,102.5,54.72,49,97,9.06,RU,1660279673
22,Hobart,-42.8794,147.3294,58.05,72,75,8.05,AU,1660279599
23,‘Āhuimanu,21.4447,-157.8378,85.71,73,40,14.97,US,1660279675
24,Saint-Philippe,-21.3585,55.7679,70.21,80,80,17.05,RE,1660279676
25,Qaqortoq,60.7167,-46.0333,45.54,83,37,4.61,GL,1660279457
26,Codrington,-38.2667,141.9667,52.2,80,100,4.32,AU,1660279679
27,Wanning,18.8003,110.3967,86.27,72,100,9.86,CN,1660279680
28,Guérande,47.3291,-2.4283,67.42,51,0,10.42,FR,1660279682
29,Ribeira Grande,38.5167,-28.7,74.68,81,100,11.45,PT,1660279683
30,Halle,51.5,12.0,59.2,67,0,6.91,DE,1660279525
31,Saint Paul Harbor,57.79,-152.4072,56.71,72,75,10.36,US,1660279686
32,Ialibu,-6.2821,143.9935,59.63,97,100,1.95,PG,1660279687
33,Port Alfred,-33.5906,26.891,63.45,86,100,17.67,ZA,1660279688
34,Yellowknife,62.456,-114.3525,61.32,55,75,4.61,CA,1660279517
35,Albany,42.6001,-73.9662,66.61,83,0,5.03,US,1660279075
36,Ust-Tsilma,65.441,52.1498,58.06,93,98,6.96,RU,1660279692
37,Nouakchott,18.0858,-15.9785,82.33,84,43,10.63,MR,1660279694
38,Provideniya,64.3833,-173.3,50.36,93,100,15.99,RU,1660279696
39,Oshikango,-17.4,15.8833,53.31,21,0,6.87,NA,1660279697
40,New Norfolk,-42.7826,147.0587,57.7,73,87,1.12,AU,1660279699
41,Kuril'sk,45.2333,147.8833,66.6,93,100,3.67,RU,1660279700
42,Castro,-24.7911,-50.0119,44.01,99,10,5.57,BR,1660279701
43,Ahipara,-35.1667,173.1667,53.02,64,13,12.53,NZ,1660279703
44,Jamestown,42.097,-79.2353,63.99,45,0,6.91,US,1660279704
45,Rikitea,-23.1203,-134.9692,72.95,74,76,23.35,PF,1660279705
46,Pevek,69.7008,170.3133,35.73,93,96,14.47,RU,1660279707
47,Klaksvík,62.2266,-6.589,52.72,88,20,11.3,FO,1660279708
48,Lebu,-37.6167,-73.65,50.34,92,100,11.03,CL,1660279693
49,Avarua,-21.2078,-159.775,75.25,83,40,11.5,CK,1660279711
50,Atuona,-9.8,-139.0333,77.02,71,44,22.68,PF,1660279474
51,Praia da Vitória,38.7333,-27.0667,73.65,88,75,9.42,PT,1660279715
52,Taltal,-25.4,-70.4833,54.95,83,92,1.28,CL,1660279694
53,Roald,62.5833,6.1333,61.16,94,75,2.3,NO,1660279717
54,San Diego,32.7153,-117.1573,78.67,82,40,8.05,US,1660279150
55,Saskylakh,71.9167,114.0833,48.78,51,100,8.84,RU,1660279719
56,Dikson,73.5069,80.5464,46.83,80,91,26.24,RU,1660279721
57,Ochsenfurt,49.6643,10.0623,61.3,63,1,3.96,DE,1660279722
58,Seminole,28.7086,-81.2081,79.2,90,0,5.75,US,1660279723
59,Nouadhibou,20.931,-17.0347,69.78,88,33,17.27,MR,1660279726
60,Nizhniye Sergi,56.6614,59.3033,63.81,58,41,9.35,RU,1660279727
61,Adwa,14.1646,38.8955,62.17,92,100,2.53,ET,1660279729
62,Jieshi,22.8134,115.8257,83.46,77,42,7.31,CN,1660279730
63,Qaanaaq,77.484,-69.3632,36.21,77,98,7.34,GL,1660279731
64,Tarauacá,-8.1614,-70.7656,70.2,80,4,0.27,BR,1660279733
65,Betsiamites,48.9413,-68.646,61.2,83,67,6.78,CA,1660279734
66,Thompson,55.7435,-97.8558,66.36,72,20,6.91,CA,1660279736
67,Nome,64.5011,-165.4064,50.07,87,100,9.22,US,1660279737
68,Hermanus,-34.4187,19.2345,50.81,88,100,14.27,ZA,1660279738
69,Kieta,-6.2167,155.6333,83.68,71,100,3.65,PG,1660279740
70,Muswellbrook,-32.2667,150.9,52.54,97,100,0.98,AU,1660279741
71,Pāli,25.7667,73.3333,85.62,70,100,5.19,IN,1660279742
72,Kahului,20.8947,-156.47,84.22,67,0,18.41,US,1660279744
73,Yantal',56.8471,105.2542,68.38,66,10,4.94,RU,1660279745
74,Ponta Delgada,37.7333,-25.6667,74.5,78,20,11.5,PT,1660279747
75,Cap-aux-Meules,47.3821,-61.8597,68.02,88,100,11.5,CA,1660279749
76,Seoul,37.5683,126.9778,92.59,60,20,3.44,KR,1660279751
77,Hithadhoo,-0.6,73.0833,82.81,74,68,13.85,MV,1660279754
78,Ilulissat,69.2167,-51.1,41.02,87,100,3.44,GL,1660279756
79,Chokurdakh,70.6333,147.9167,57.27,44,42,12.01,RU,1660279757
80,Almaznyy,48.0448,40.045,83.3,29,100,17.05,RU,1660279759
81,Souillac,-20.5167,57.5167,68.38,73,75,17.27,MU,1660279760
82,Kaitangata,-46.2817,169.8464,45.75,72,92,6.44,NZ,1660279761
83,Jiuquan,39.7432,98.5174,87.51,37,100,1.83,CN,1660279763
84,Ventspils,57.3894,21.5606,58.93,100,43,3.44,LV,1660279764
85,Bălţi,47.7617,27.9289,66.15,85,98,10.18,MD,1660279765
86,Zhigansk,66.7697,123.3711,58.68,53,94,22.91,RU,1660279767
87,Black River,18.0264,-77.8487,78.06,83,24,4.47,JM,1660279768
88,Longyearbyen,78.2186,15.6401,44.44,65,75,11.5,SJ,1660279769
89,Sibolga,1.7427,98.7792,86.85,57,84,4.43,ID,1660279761
90,Opuwo,-18.0607,13.84,58.73,24,26,4.36,NA,1660279772
91,Carnarvon,-24.8667,113.6333,75.18,29,0,13.85,AU,1660279773
92,Mataura,-46.1927,168.8643,44.47,78,92,3.76,NZ,1660279775
93,Severo-Kuril'sk,50.6789,156.125,56.8,96,100,12.21,RU,1660279776
94,Ruston,32.5232,-92.6379,76.59,94,40,0.0,US,1660279777
95,Cidreira,-30.1811,-50.2056,58.53,87,0,12.88,BR,1660279779
96,Brodick,55.5754,-5.1472,49.84,82,1,5.12,GB,1660279780
97,Mayo,38.8876,-76.5119,78.75,76,0,10.36,US,1660279783
98,Nhamundá,-2.1861,-56.7131,75.76,57,43,2.28,BR,1660279784
99,Lake Charles,30.2131,-93.2044,78.78,96,0,0.0,US,1660279785
100,Bethel,41.3712,-73.414,75.65,64,47,6.87,US,1660279787
101,Forsytheganj,52.6333,29.7333,66.16,72,9,10.92,BY,1660279788
102,Coronado,32.6859,-117.1831,78.87,82,40,8.05,US,1660279789
103,East London,-33.0153,27.9116,58.14,88,0,9.22,ZA,1660279791
104,Ngunguru,-35.6167,174.5,52.68,63,7,15.5,NZ,1660279792
105,Murgab,37.4966,61.9714,78.67,44,0,9.22,TM,1660279793
106,Baharly,38.4362,57.4316,86.2,20,0,11.41,TM,1660279795
107,Pontianak,-0.0333,109.3333,89.58,66,75,3.44,ID,1660279796
108,Naze,28.3667,129.4833,86.92,73,86,1.48,JP,1660279797
109,Saint-Pierre,-21.3393,55.4781,70.29,64,0,5.75,RE,1660279799
110,Charagua,-19.8,-63.2167,51.49,42,0,4.07,BO,1660279800
111,Liberty,31.8335,-81.5004,73.51,94,20,3.44,US,1660279748
112,Butaritari,3.0707,172.7902,82.6,75,14,15.3,KI,1660279803
113,Teya,60.3778,92.6267,62.38,46,60,4.5,RU,1660279804
114,Kabakovo,54.5369,56.1517,66.49,63,0,4.47,RU,1660279806
115,Fairbanks,64.8378,-147.7164,73.36,49,0,0.0,US,1660279807
116,Tasiilaq,65.6145,-37.6368,29.35,70,6,3.71,GL,1660279809
117,Cabo San Lucas,22.8909,-109.9124,87.51,67,45,4.63,MX,1660279630
118,Storforshei,66.4043,14.5233,49.78,87,75,9.22,NO,1660279813
119,Shangrao,28.4532,117.9686,101.53,38,81,2.39,CN,1660279817
120,Mossamedes,-15.1961,12.1522,59.92,90,21,3.29,AO,1660279818
121,Vanavara,60.34,102.2797,62.19,54,74,9.46,RU,1660279820
122,Hilo,19.7297,-155.09,78.53,83,75,6.91,US,1660279822
123,San Jerónimo,-11.9472,-75.2829,47.43,79,15,2.86,PE,1660279825
124,Chabahar,25.2919,60.643,86.95,69,88,1.54,IR,1660279826
125,Katherine,-14.4667,132.2667,89.92,35,75,6.91,AU,1660279827
126,Auki,-8.7676,160.7034,81.0,80,62,1.01,SB,1660279829
127,Cherskiy,68.75,161.3,51.15,75,97,18.66,RU,1660279830
128,Tuktoyaktuk,69.4541,-133.0374,51.8,82,75,6.91,CA,1660279831
129,Port Lincoln,-34.7333,135.8667,57.18,69,18,18.66,AU,1660279834
130,Havelock,34.8791,-76.9013,84.18,80,0,14.97,US,1660279728
131,Airai,-8.9266,125.4092,71.98,57,55,2.62,TL,1660279836
132,Iqaluit,63.7506,-68.5145,40.73,80,20,5.75,CA,1660279838
133,Portland,45.5234,-122.6762,77.34,64,15,1.01,US,1660279823
134,Nikolskoye,59.7035,30.7861,68.88,80,66,7.11,RU,1660279840
135,Vestmannaeyjar,63.4427,-20.2734,52.18,89,100,18.52,IS,1660279841
136,North Bend,43.4065,-124.2243,57.85,100,100,4.61,US,1660279843
137,Lavrentiya,65.5833,-171.0,43.03,94,100,2.53,RU,1660279844
138,Altay,47.8667,88.1167,82.38,22,96,11.5,CN,1660279846
139,Ancud,-41.8697,-73.8203,49.62,94,100,27.09,CL,1660279847
140,Leningradskiy,69.3833,178.4167,44.17,84,100,3.71,RU,1660279848
141,Moussoro,13.6408,16.4901,81.01,69,97,6.62,TD,1660279851
142,Esperance,-33.8667,121.9,58.21,55,61,7.31,AU,1660279852
143,Itarema,-2.9248,-39.9167,76.21,86,59,13.2,BR,1660279853
144,Ketchikan,55.3422,-131.6461,61.27,82,0,6.91,US,1660279855
145,Faanui,-16.4833,-151.75,78.06,77,7,13.8,PF,1660279856
146,Puerto Rico,-26.796,-55.024,50.27,97,74,2.89,AR,1660279826
147,Geraldton,-28.7667,114.6,70.21,35,0,20.71,AU,1660279858
148,Saint-Augustin,51.226,-58.6502,62.06,91,100,11.9,CA,1660279860
149,Gagino,55.2314,45.0339,66.54,62,28,3.69,RU,1660279861
150,Bambous Virieux,-20.3428,57.7575,70.21,73,75,17.27,MU,1660279863
151,Asău,46.4333,26.4,60.28,66,13,3.29,RO,1660279864
152,Itamaracá,-7.7478,-34.8256,77.05,87,8,2.64,BR,1660279865
153,Half Moon Bay,37.4636,-122.4286,66.11,84,75,12.66,US,1660279869
154,Clyde River,70.4692,-68.5914,52.03,66,100,8.05,CA,1660279870
155,Ondo,7.1,4.8333,69.89,99,100,3.04,NG,1660279872
156,Aitape,-3.1374,142.3475,81.21,82,58,8.14,PG,1660280024
157,Sola,-13.8833,167.55,77.97,71,79,25.7,VU,1660280025
158,Necochea,-38.5473,-58.7368,45.79,83,0,10.36,AR,1660280027
159,Tura,25.5198,90.2201,86.77,64,27,4.99,IN,1660280028
160,Miyang,24.4042,103.4428,74.34,79,67,5.48,CN,1660280029
161,Sistranda,63.7256,8.834,51.76,79,93,8.43,NO,1660280031
162,Adeje,28.1227,-16.726,71.87,83,20,0.0,ES,1660280032
163,Tsaratanana,-16.7833,47.65,68.77,59,10,16.13,MG,1660280035
164,Mindelo,16.8901,-24.9804,76.55,73,20,23.02,CV,1660280036
165,Coyhaique,-45.5752,-72.0662,39.81,81,100,4.61,CL,1660280037
166,São Filipe,14.8961,-24.4956,77.29,79,52,13.94,CV,1660280039
167,Harper,4.375,-7.7169,75.24,82,100,11.21,LR,1660280040
168,Puerto del Rosario,28.5004,-13.8627,71.35,78,75,9.22,ES,1660280041
169,Dolisie,-4.1997,12.6739,65.93,90,86,3.51,CG,1660280043
170,Inhambane,-23.865,35.3833,69.78,88,20,3.44,MZ,1660280044
171,Bay Roberts,47.5999,-53.2648,58.51,94,100,2.82,CA,1660280045
172,Aklavik,68.2191,-135.0107,56.86,66,41,6.78,CA,1660280047
173,Margate,51.3813,1.3862,69.31,94,13,3.0,GB,1660280048
174,Dakar,14.6937,-17.4441,82.53,78,40,4.61,SN,1660280009
175,Gambēla,8.25,34.5833,69.85,97,100,2.3,ET,1660280051
176,Ampanihy,-24.7,44.75,66.0,56,0,6.78,MG,1660280052
177,Katsuura,35.1333,140.3,84.2,77,12,19.69,JP,1660280053
178,Sarkand,45.41,79.9186,81.34,31,67,10.87,KZ,1660280055
179,Kuala Lipis,4.1842,102.0468,92.14,54,74,1.34,MY,1660280056
180,Amapá,1.0,-52.0,70.86,98,83,1.86,BR,1660280057
181,San Patricio,28.017,-97.5169,85.86,78,100,3.24,US,1660280059
182,Saint Augustine,29.8947,-81.3145,78.03,75,100,3.58,US,1660280060
183,Umeå,63.8284,20.2597,57.9,67,0,10.36,SE,1660279952
184,Kumluca,36.3703,30.2869,84.4,54,0,0.83,TR,1660280063
185,Cobija,-11.0267,-68.7692,67.82,70,5,1.16,BO,1660280064
186,Aryanah,36.8601,10.1934,78.67,73,20,4.61,TN,1660280065
187,Kachīry,53.0675,76.1036,79.83,46,0,8.99,KZ,1660280067
188,Turtas,58.9417,69.1325,61.12,96,100,4.03,RU,1660280068
189,Lata,40.1629,-8.3327,57.81,94,0,1.34,PT,1660280070
190,Imbituba,-28.24,-48.6703,62.85,99,97,2.75,BR,1660279873
